0,25
1,27
2,4
3,7
4,15
5,9
6,7
7,42
8,46
9,7
10,22
11,16
12,2
13,2
14,16
15,6
16,5
17,3
18,7
19,5
20,58
21,23
22,2
23,4
24,2
25,5
26,30
27,3
28,5
29,22
30,6
31,60
32,1
33,7
34,2
35,15
36,6
37,5
38,13
39,11
40,2
41,3
42,5
43,5
44,5
45,9
46,26
47,27
48,15
49,18
50,18
51,9
52,15
53,46
54,52
55,16
56,5
57,297
58,2
59,4
60,4
61,32
62,25
63,17
64,17
65,2
66,4
67,472
68,11
69,6
70,8
71,96
72,2843
73,14
74,4
75,6
76,4
77,1
78,30
79,8
80,3
81,37
82,4
83,5
84,9
85,5
86,4
87,4
88,150
89,16
90,8
91,566
92,10
93,5
94,3
95,8
96,7
97,16
98,分享
99,20
100,5
101,16
102,6
103,3
104,10
105,4
106,20
107,25
108,12
109,18
110,13
111,37
112,3
113,9
114,60
115,2
116,6
117,3
118,64
119,19
120,10
121,20
122,1
123,5
124,7
125,16
126,129
127,17
128,680
129,31
130,32
131,9
132,11
133,8
134,6
135,7
136,3
137,6
138,3
139,32
140,15
141,17
142,6
143,16
144,4
145,25
146,1
147,16
148,6
149,17
150,61
151,54
152,3
153,7
154,25
155,12
156,18
157,2
158,2
159,7
160,4
161,10
162,67
163,3
164,2
165,68
166,4
167,7
168,4
169,4
170,17
171,57
172,16
173,6
174,20
175,4
176,137
177,11
178,12
179,105
180,6
181,23
182,1
183,2
184,5
185,12
186,15
187,13
188,3
189,3
190,5
191,4
192,3
193,5
194,72
195,6
196,24
197,22
198,51
199,10
200,20
201,分享
202,6
203,6
204,25
205,28
206,32
207,7
208,3
209,8
210,18
211,13
212,9
213,4
214,18
215,6
216,分享
217,31
218,7
219,2
220,2
221,2
222,6
223,3
224,384
225,3
226,3
227,2
228,4
229,5
230,3
231,4
232,24
233,7
234,4
235,3
236,9
237,11
238,327
239,12
240,4
241,29
242,236
243,3
244,4
245,57
246,106
247,7
248,42
249,13
250,5
251,4
252,24
253,17
254,5
255,4
256,12
257,21
258,13
259,4
260,9
261,12
262,170
263,32
264,89
265,2
266,15
267,23
268,7
269,10
270,8
271,8
272,15
273,22
274,3
275,4
276,14
277,3
278,3
279,4
280,2
281,25
282,11
283,63
284,3
285,15
286,12
287,14
288,15
289,18
290,5
291,14
292,4
293,1
294,11
295,15
296,4
297,4
298,21
299,5
300,10
301,7
302,6
303,45
304,8
305,37
306,13
307,16
308,2
309,4
310,29
311,4
312,12
313,8
314,3
315,52
316,2
317,4
318,2
319,16
