0,88
1,5
2,11
3,4
4,146
5,7
6,15
7,44
8,245
9,13
10,54
11,3
12,0
13,6
14,12
15,1
16,4
17,118
18,0
19,0
20,446
21,72
22,56
23,0
24,27
25,1
26,245
27,3
28,9
29,4
30,5
31,11
32,0
33,10
34,0
35,25
36,1
37,3
38,11
39,1
40,1
41,0
42,4
43,0
44,1
45,0
46,694
47,9
48,50
49,36
50,18
51,37
52,11
53,100
54,50
55,36
56,37
57,201
58,0
59,0
60,2
61,313
62,86
63,4
64,2
65,6
66,10
67,3552
68,2
69,0
70,2
71,283
72,10003
73,5
74,3
75,1
76,0
77,1
78,345
79,55
80,0
81,211
82,3
83,42
84,5
85,0
86,1
87,92
88,377
89,73
90,35
91,217
92,72
93,0
94,0
95,3
96,2
97,14
98,0
99,36
100,17
101,1
102,0
103,31
104,0
105,2
106,14
107,73
108,4
109,74
110,8
111,1104
112,0
113,0
114,228
115,1
116,4
117,2
118,135
119,27
120,24
121,82
122,13
123,3
124,11
125,23
126,442
127,1
128,1635
129,64
130,46
131,8
132,10
133,72
134,37
135,0
136,0
137,95
138,21
139,100
140,29
141,132
142,1
143,5
144,21
145,542
146,2
147,0
148,9
149,11
150,231
151,7
152,1
153,2
154,44
155,6
156,1
157,0
158,1
159,38
160,20
161,5
162,916
163,3
164,10
165,32
166,1
167,57
168,3
169,61
170,0
171,398
172,5
173,2
174,18
175,7
176,5026
177,7
178,21
179,478
180,6
181,298
182,1
183,4
184,8
185,64
186,33
187,3
188,0
189,0
190,105
191,29
192,4
193,7
194,17
195,333
196,29
197,107
198,71
199,1
200,26
201,0
202,25
203,2
204,17
205,55
206,152
207,3
208,8
209,26
210,2
211,72
212,1
213,3
214,41
215,20
216,0
217,120
218,1
219,50
220,2
221,10
222,24
223,0
224,222
225,5
226,4
227,47
228,4
229,17
230,0
231,2
232,66
233,23
234,64
235,0
236,4
237,8
238,263
239,40
240,2
241,30
242,3463
243,0
244,0
245,75
246,4420
247,6
248,491
249,0
250,2
251,2
252,6
253,7
254,243
255,1
256,181
257,24
258,2
259,1
260,16
261,0
262,2996
263,11
264,389
265,213
266,19
267,143
268,6
269,36
270,1
271,0
272,45
273,10
274,0
275,1
276,25
277,3
278,7
279,25
280,2
281,8
282,0
283,147
284,15
285,2
286,39
287,1
288,29
289,50
290,6
291,3
292,27
293,0
294,34
295,190
296,2
297,0
298,175
299,5
300,1
301,60
302,82
303,34
304,3
305,237
306,4
307,12
308,1
309,4
310,340
311,0
312,17
313,0
314,1
315,13
316,6
317,0
318,2
319,31
