0,7827
1,51200
2,18506
3,441
4,3073
5,2269
6,1797
7,2329
8,313
9,1850
10,1298
11,1859
12,397956
13,5766
14,32616
15,265
16,799
17,845
18,515
19,1848
20,24452
21,4050
22,9349
23,195
24,13737
25,1402
26,3067
27,8931
28,339
29,940
30,4287
31,1216
32,2373
33,743
34,171
35,13604
36,785
37,2754
38,145
39,9098
40,322
41,12172
42,1141
43,1972
44,1454
45,868
46,10185
47,9889
48,836
49,1993
50,19130
51,461
52,1227
53,226
54,51132
55,19384
56,502
57,2151
58,534
59,9533
60,587
61,634
62,39398
63,692
64,2114
65,1628
66,214
67,12768
68,81199
69,604
70,328
71,798
72,4859
73,3890
74,2457
75,272
76,806
77,2281
78,1346
79,471
80,6041
81,212298
82,472
83,2680
84,398
85,1560
86,248
87,17017
88,1257
89,305
90,104314
91,2482
92,1201
93,939
94,2265
95,1302
96,6634
97,10907
98,10942
99,14074
100,964
101,6649
102,873
103,1165
104,8736
105,511
106,481
107,2144
108,5852
109,6885
110,1411
111,863
112,859
113,1865
114,340
115,1559
116,12160
117,413
118,455
119,934
120,692
121,2125
122,12446
123,1613
124,1629
125,340
126,630
127,3452
128,672
129,2125
130,924
131,5037
132,5708
133,1029
134,1622
135,2478
136,9629
137,15391
138,4521
139,5067
140,528
141,4064
142,2733
143,11394
144,13152
145,496
146,13452
147,1226
148,100
149,908
150,935
151,402
152,12048
153,57995
154,2093
155,1541
156,4725
157,670
158,3180
159,1482
160,943
161,82728
162,15244
163,1286
164,2233
165,10311
166,313
167,395
168,5301
169,1773
170,5545
171,898
172,1556
173,387
174,113146
175,15186
176,1179
177,1147
178,991
179,726
180,506
181,821
182,2878
183,916
184,9536
185,1953
186,1435
187,5545
188,4559
189,488
190,1199
191,1178
192,4803
193,13140
194,43125
195,854
196,1066
197,845496
198,1920
199,925
200,833
201,524
202,8126
203,19813
204,2382
205,119
206,28673
207,6492
208,221
209,1871
210,299
211,872
212,1143
213,4547
214,890
215,200
216,16144
217,2356
218,4878
219,13406
220,324
221,2177
222,348
223,3308
224,740
225,355
226,134
227,432
228,3799
229,559
230,1294
231,2136
232,589
233,2362
234,10906
235,6845
236,548
237,2671
238,108
239,432
240,1448
241,23390
242,33092
243,7357
244,720
245,4216
